way_id,highway,name,oneway,maxspeed_kmh,node_refs
27278940,residential,улица Бегалиева,no,25,299436786 299436776 2829260468 299436773 299443051 299436767 299436761 6208898751 2824622862 6208898752 2829324810 691397377 299436509
27278941,residential,улица Ануара Молдабекова,no,25,2829324818 2829324817 2829324816 2829324815 299436546 2829324814 2824622861 299443049 2820714597 2820714598 299443050 299436557
27278942,residential,улица Ануара Молдабекова,no,25,299436563 2555498918 2449455863 2449455861 299436579
27278943,residential,Латиф Қыдырбеков көшесі,no,25,299436607 10268282948 2820714596 299436613 299436601 299436619 299436638 299436670 299436758 10650915618
27278945,residential,Байзақ батыр көшесі,no,25,294985305 7230366248 7230366246 7230366247 299443050 7230366250 7230366249 10650915617 299443051
27278946,path,,no,5,299436800 299436810 2829324844 299436811 2829324845 299436812 12053292461 1842624898
27278948,tertiary,улица Сагатова,no,40,11176138120 6208654502 299436821 299437031
27278952,tertiary,улица Проектируемая,no,40,1842625377 6208654503 13095829653 4361699116 11240499664 1842624836
27278953,tertiary,улица Алты Алаш,no,40,299437031 299437022 299437020 299437015 299437013
27278954,service,улица Хакимжанова,no,15,299436958 299436963
27278955,service,улица Кеменгерулы,no,15,299436977 299436993
27278956,tertiary,улица Аханова,no,40,299437013 2443957707 12956334691 10877672177 6208654520
27278957,residential,улица Айымбетова,no,25,299437015 299437024 10866993009 10866993010
27278958,residential,улица Тажибаева,no,25,11176112260 299443045 10866993007 10866993008
27278960,residential,улица Шарденова,no,25,299437022 299437033 299437023 2444796863
27278962,residential,улица Сагатова,no,25,299437031 13397292878 299437032 2829433241 299437035 2821704671
27278974,residential,Төле би көшесі,no,25,11975903547 11975903548 11975903549 11975903550 11975903551 11975903552 11975903553 299437068 299437066 6493688399 299437119 299437120 2560440345
27278976,tertiary,Төле би көшесі,no,40,10900385281 6208654517 2444796858 2444796857 2821704654 2829433240 2444796856
27278978,residential,улица Ер Жанибека,no,25,2824622858 2821704653 299437080 2829433237 2829433238 2829433239 6208654508 299437081 10866987100 11072021939
27278979,tertiary,,no,40,10900385281 10866987100 2829324838 2485239158
27278981,residential,улица Токпанова,no,25,2821704875 3182294865
27279354,residential,Каргалинский переулок,no,25,299441985 6363584014 2493184614 2493184611 299441984
27279355,residential,,yes,25,861191093 7426428585 861191070 12912009770 11176139378 7426419880
27279356,residential,,no,25,2493184639 299441989
27279358,residential,,no,25,2493184663 299441995
27279359,residential,улица Сейхун,no,25,299442006 299441989
27298177,residential,улица Шорманова,no,25,299677594 7324757124 299677614 299677596 299677595
27298178,residential,улица Абая (Акбулак),no,25,299677596 299677580
